Incident Reporting Date,Trafficking Type,Industry Sector,Recruitment Method,Transportation Method,Coercion Method,Trafficker Gender,Trafficker Age,Victim Gender,Victim Age,Info Source,Data Source,Country Code,Country,Location Type,Latitude,Longitude
2024-09-24,Child Sexual Exploitation,"Accommodation/Hotel/Motel,Arts and Entertainment,Child Marriage,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Restaurant/Takeaway,Servitude","Financial Inducement,Violence Threats Abuse",Car,"Forced,Minor,Sexual Abuse",Male,54,"Female,Male",,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2024-04-05,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Violence Threats Abuse,Aeroplane,"Minor,Sexual Abuse",Male,32-year-old,,minor,Internet/URL,tah,US,United States,Unknown,40.68,-73.84
2023-05-17,Sexual Exploitation,"Personal Sexual Servitude,Servitude","Financial Obligation, Blackmail",Aeroplane,"Minor,Sexual Abuse",Unknown,,,"minors,minor",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2024-10-24,"Forced Criminality,Sexual Exploitation","Child Marriage,Personal Sexual Servitude,Servitude","Financial Inducement,Financial Obligation, Blackmail,Relationship Marriage,Violence Threats Abuse",Unknown,"Forced,Minor,Sexual Abuse",Unknown,25,,,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2023-06-15,"Child Sexual Exploitation,Forced Criminality,Forced Labour,Sexual Exploitation","Accommodation/Hotel/Motel,Arts and Entertainment,Manufacturing/Factories,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Social Media",Truck,Minor,Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2024-06-29,Child Sexual Exploitation,"Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,43,,"infants,10-year-old",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2024-06-30,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",,Unknown,Minor,Unknown,43,,"infants,10-year-old",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-09-28,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude","Social Media,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,,Female,"23-year-old,minors,minor",Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2024-11-11,"Child Sexual Exploitation,Sexual Exploitation","Accommodation/Hotel/Motel,Arts and Entertainment,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude","Financial Inducement,Financial Obligation, Blackmail,Violence Threats Abuse",Unknown,"Forced,Minor,Restricts Access to/Manipulates Children,Sexual Abuse",Unknown,,"Female,Male","minors,as young as 9 years old",Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2023-01-24,"Child Trafficking,Child Sexual Exploitation,Forced Criminality","Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Social Media,Violence Threats Abuse",Unknown,"Forced,Minor,Sexual Abuse",Male,66-year-old,Female,"minors,underage,minor",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-01-11,"Child Sexual Exploitation,Sexual Exploitation","Domestic Work/Servitude,Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Car,Minor,Male,,Female,"underage,under the age of 10 and six,under the age of 16,under 16 years old",Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2023-06-15,Child Trafficking,"Accommodation/Hotel/Motel,Arts and Entertainment,Child Marriage,Domestic Work/Servitude,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Religious/Ritualistic Coercion",Car,Minor,"Male,Female","30,34-year-old,30 years old,24,30-year-old,44,33,47,22,86-year-old,31-year-old,60 s,76-year-old,54-year-old","Male,Female","minors,3-year-old,19,19-year-old,toddler,as Young as 12",Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,40.71,-74.01
2025-02-12,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",Violence Threats Abuse,Unknown,Sexual Abuse,Unknown,58,,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2021-09-10,"Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Car,"Forced,Sexual Abuse,Use of Psychoactive Substances",Unknown,,,,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2025-02-13,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Servitude",Violence Threats Abuse,Truck,"Minor,Sexual Abuse",Unknown,58-year-old,Female,minors,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2024-06-13,"Child Labour,Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Minor,Restricts Access to/Manipulates Children,Sexual Abuse",Unknown,,Female,5-year-old,Internet/URL,tah,US,United States,Unknown,40.9,-73.85
2023-01-02,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Construction,Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Financial Obligation, Blackmail,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,33,Female,minors,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-06-15,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Accommodation/Hotel/Motel,Personal Sexual Servitude,Pre-School/Child Day Care Service,Prostitution/Brothel/Escort Agency,Servitude,Sexual Servitude","Financial Inducement,Social Media,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,54-year-old,Female,"14-year-old,minor,minors",Internet/URL,tah,US,United States,Rescued,40.78,-73.97
2023-11-19,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.75,-73.86
2023-12-15,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude","Social Media,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,33,Male,"minor,15-year-old,12-year-old,minors",Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,40.56,-74.14
2023-04-14,Child Sexual Exploitation,"Amusement and Recreation,Arts and Entertainment,Child Marriage,Illicit Activities,Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Social Media,Violence Threats Abuse",Car,Minor,Male,,Female,21-year-old,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-04-12,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Male,55,"Male,Female","underage,minors",Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2023-04-12,Child Sexual Exploitation,"Domestic Work/Servitude,Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,Sexual Abuse,Unknown,,"Male,Female",,Internet/URL,tah,US,United States,Unknown,40.71,-74.01
2023-08-29,"Child Trafficking,Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Illicit Activities,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Promise of Employment,Financial Obligation, Blackmail,Violence Threats Abuse",Truck,Minor,Male,84-year-old,,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-06-20,Sexual Exploitation,"Personal Sexual Servitude,Servitude","Violence Threats Abuse,Religious/Ritualistic Coercion",Unknown,,Female,,Female,,Internet/URL,tah,US,United States,Target,40.71,-74.01
2021-12-11,Child Sexual Exploitation,"Arts and Entertainment,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude",Violence Threats Abuse,Unknown,"Forced,Minor,Sexual Abuse",Unknown,"59,42,66",Female,16-year-old,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2023-06-03,"Child Trafficking,Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Pre-School/Child Day Care Service,Restaurant/Takeaway,Servitude,Sexual Servitude",Financial Inducement,Aeroplane,Minor,Female,,Female,"14 years old,17,14,15 years old,five-month old,16-year-old",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2022-11-01,,"Accommodation/Hotel/Motel,Amusement and Recreation,Arts and Entertainment,Child Marriage,Illicit Activities,Personal Sexual Servitude,Servitude,Sexual Servitude",Social Media,"Aeroplane,Car",,Female,48-year-old,"Female,Male","four years old,17,four-year-old,ten-year-old",Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,41.07,-73.78
2022-11-20,"Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Accommodation/Hotel/Motel,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",Violence Threats Abuse,Unknown,"Forced,Lie,Minor,Sexual Abuse",Unknown,,Female,underage,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2022-06-29,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Child Marriage,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Lie,Minor,Sexual Abuse",Unknown,55,"Female,Male",age as 18,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2024-06-29,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude","Social Media,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,"43-year-old,43",,"infants,10-year-old",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-03-07,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude","Financial Inducement,Violence Threats Abuse",Car,"Minor,Sexual Abuse",Male,,Female,minors,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2024-02-26,"Child Trafficking,Child Sexual Exploitation","Child Marriage,Domestic Work/Servitude,Personal Sexual Servitude,Pre-School/Child Day Care Service,Restaurant/Takeaway,Servitude,Sexual Servitude","Financial Inducement,Relationship Marriage,Violence Threats Abuse",Car,"Minor,Psychological Abuse/Threat or Force,Restricts Access to/Manipulates Children",Unknown,,"Male,Female","newborn,16,21",Internet/URL,tah,US,United States,Target,40.71,-74.01
2023-08-26,"Child Trafficking,Child Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Pornography,Servitude","Social Media,Violence Threats Abuse",Truck,"Minor,Sexual Abuse",Unknown,,Female,minors,Internet/URL,tah,US,United States,Unknown,40.71,-74.01
2022-11-24,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude","Financial Inducement,Financial Obligation, Blackmail,Violence Threats Abuse",Unknown,Minor,Female,,Female,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-10-26,"Child Trafficking,Child Sexual Exploitation","Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude",Violence Threats Abuse,Unknown,Minor,Unknown,,Female,,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2024-01-13,Child Sexual Exploitation,"Personal Sexual Servitude,Servitude",,Unknown,Minor,Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2024-10-24,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Health/Beauty Services,Personal Sexual Servitude,Servitude","Financial Inducement,Violence Threats Abuse",Seaport,"Forced,Minor,Sexual Abuse",Unknown,,Female,"15 years older,25-year-old",Internet/URL,tah,US,United States,Unknown,40.71,-74.01
